gif_id,title,category,match_source,matched_job,created,latest_snapshot,views,lifetime_views_per_day,recent_views_per_day,recent_window_days
qhb6MgP55rZQIiJPFf,Celebrate World Cup GIF by OneFootball Heads,country,slug,,2026-01-20,2026-08-03,828396,4248.2,75979.7,7
rWdKQ4rLROfKD3cdLI,Best Friend Friends Sticker by OneFootball Heads,uncategorised,none,,2026-07-28,2026-08-03,329341,54890.2,54890.2,6
ykoTW1SqAFoUKMXfwl,Celebrate World Cup GIF by OneFootball Heads,football-generic,slug,,2026-01-20,2026-08-03,1645903,8440.5,38774.0,7
s6eCu3KXqkq8sKt2pD,World Cup Win GIF by OneFootball Heads,football-generic,slug,,2026-01-20,2026-08-03,5788050,29682.3,27892.7,7
lZZ0LAMaAEOTY0ERz9,Best Friend Football GIF by OneFootball Heads,reaction,upload-log,REACTION_FRIENDSHIPDAY,2026-07-28,2026-08-03,161692,26948.7,26948.7,6
3lTznm8qcjuD0dOyof,Celebrate World Cup GIF by OneFootball Heads,football-generic,slug,,2026-01-20,2026-08-03,2253202,11554.9,18957.6,7
1MTfxcyrTyUFK9Zp3S,Celebrate World Cup GIF by OneFootball Heads,football-generic,slug,,2026-01-20,2026-08-03,11122195,57036.9,15323.6,7
VFmjfFzMv0JETVuokv,World Cup Football GIF by OneFootball Heads,country,upload-log,ALGERIA_VIVA_LALGERIE,2026-06-18,2026-08-03,575545,12511.8,14911.4,7
ba5JMnrKk4o9z7yiP0,Celebrate World Cup GIF by OneFootball Heads,football-generic,slug,,2026-01-20,2026-08-03,2416283,12391.2,12584.4,7
VeQ7R5eLzOiZwny95R,Preach For Real GIF by OneFootball Heads,reaction,slug,,2025-06-26,2026-08-03,11982191,29732.5,10763.6,7
clODkNL8QqeiiLV871,Celebrate World Cup GIF by OneFootball Heads,football-generic,slug,,2026-01-20,2026-08-03,350879,1799.4,6257.1,7
