snapshot_date,section,uuid,slug,title,type,created_at,url,impressions
2026-07-08,Top Performing GIFs,d233b30e-40a8-4c84-a2b3-33622fd54f39,onefootball-onefootball-heads-1,Onefootball Onefootball Heads,gif,2026-06-14 05:34:42,https://klipy.com/gifs/onefootball-onefootball-heads-1,17381
2026-07-08,Top Performing GIFs,4b8f9b3a-765f-4d22-89ed-62838c610057,celebration-happy-dance,Celebration Happy Dance,gif,2025-09-11 18:50:19,https://klipy.com/gifs/celebration-happy-dance,11109
2026-07-08,Top Performing GIFs,130873e1-05e0-442d-9867-c2ed1d831b3e,onefootball-onefootball-heads-7,Onefootball Onefootball Heads,gif,2026-06-20 18:57:03,https://klipy.com/gifs/onefootball-onefootball-heads-7,8758
2026-07-08,Top Performing GIFs,7daca18c-9e6a-42b4-bfa4-f89b770a0e51,heads-onefootball-heads,Heads Onefootball Heads,gif,2025-09-10 20:15:16,https://klipy.com/gifs/heads-onefootball-heads,6119
2026-07-08,Top Performing GIFs,0e3e559f-1bcf-4887-8e51-8e534f700bc8,heads-onefootball-heads-1,Heads Onefootball Heads,gif,2025-09-11 05:12:23,https://klipy.com/gifs/heads-onefootball-heads-1,5980
2026-07-13,Top Performing GIFs,45dad84a-095b-4e36-8da1-3ee1a5356de8,norway-lets-go-norway,Norway - LET'S GO NORWAY!,gif,2026-07-07 03:26:48,https://klipy.com/gifs/norway-lets-go-norway,42742
2026-07-13,Top Performing GIFs,68d352ed-714e-4b21-8f76-9e6f91ce81c5,sui-ronaldo,Sui Ronaldo,gif,2026-06-11 21:39:24,https://klipy.com/gifs/sui-ronaldo,41998
2026-07-13,Top Performing GIFs,a81417e7-1446-4a90-9932-6b695b521da4,england-its-coming-home-6,England - IT'S COMING HOME!,gif,2026-07-07 03:22:05,https://klipy.com/gifs/england-its-coming-home-6,36962
2026-07-13,Top Performing GIFs,d233b30e-40a8-4c84-a2b3-33622fd54f39,onefootball-onefootball-heads-1,Onefootball Onefootball Heads,gif,2026-06-14 05:34:42,https://klipy.com/gifs/onefootball-onefootball-heads-1,33466
2026-07-13,Top Performing GIFs,ed99a853-9b26-45ee-a088-4585c64416af,bad-call-ref-bad-ref,Bad Call Ref Bad Ref,gif,2026-06-23 19:57:26,https://klipy.com/gifs/bad-call-ref-bad-ref,31508
2026-07-20,Top Performing GIFs,68d352ed-714e-4b21-8f76-9e6f91ce81c5,sui-ronaldo,Sui Ronaldo,gif,2026-06-11 21:39:24,https://klipy.com/gifs/sui-ronaldo,95915
2026-07-20,Top Performing GIFs,a81417e7-1446-4a90-9932-6b695b521da4,england-its-coming-home-6,England - IT'S COMING HOME!,gif,2026-07-07 03:22:05,https://klipy.com/gifs/england-its-coming-home-6,82759
2026-07-20,Top Performing GIFs,ed99a853-9b26-45ee-a088-4585c64416af,bad-call-ref-bad-ref,Bad Call Ref Bad Ref,gif,2026-06-23 19:57:26,https://klipy.com/gifs/bad-call-ref-bad-ref,78620
2026-07-20,Top Performing GIFs,4fe1e396-ef3b-4992-849c-eb3bc21568d4,michael-olise-celebration,Michael Olise Celebration,gif,2026-07-07 03:06:34,https://klipy.com/gifs/michael-olise-celebration,73490
2026-07-20,Top Performing GIFs,d233b30e-40a8-4c84-a2b3-33622fd54f39,onefootball-onefootball-heads-1,Onefootball Onefootball Heads,gif,2026-06-14 05:34:42,https://klipy.com/gifs/onefootball-onefootball-heads-1,69365
2026-07-27,Top Performing GIFs,68d352ed-714e-4b21-8f76-9e6f91ce81c5,sui-ronaldo,Sui Ronaldo,gif,2026-06-11 21:39:24,https://klipy.com/gifs/sui-ronaldo,148199
2026-07-27,Top Performing GIFs,ed99a853-9b26-45ee-a088-4585c64416af,bad-call-ref-bad-ref,Bad Call Ref Bad Ref,gif,2026-06-23 19:57:26,https://klipy.com/gifs/bad-call-ref-bad-ref,116045
2026-07-27,Top Performing GIFs,d233b30e-40a8-4c84-a2b3-33622fd54f39,onefootball-onefootball-heads-1,Onefootball Onefootball Heads,gif,2026-06-14 05:34:42,https://klipy.com/gifs/onefootball-onefootball-heads-1,95037
2026-07-27,Top Performing GIFs,4fe1e396-ef3b-4992-849c-eb3bc21568d4,michael-olise-celebration,Michael Olise Celebration,gif,2026-07-07 03:06:34,https://klipy.com/gifs/michael-olise-celebration,93629
2026-07-27,Top Performing GIFs,9c911d06-78bc-41cb-97a1-d58b8f80c5a4,michael-olise-ice-cold,Michael Olise - ICE COLD,gif,2026-07-07 02:06:01,https://klipy.com/gifs/michael-olise-ice-cold,87687
2026-07-27,Top Performing Stickers,4e6f114d-6895-4651-91aa-a3ab1a298b83,luis-diaz-sticker,Luis Diaz Sticker,sticker,2026-07-22 18:37:39,https://klipy.com/stickers/luis-diaz-sticker,302
2026-07-27,Top Performing Stickers,c54b8aac-15bb-48ca-820e-57b6fceb3f5c,luis-diaz-luchooo-sticker,Luis Diaz - ¡LUCHOOO! Sticker,sticker,2026-07-22 18:37:39,https://klipy.com/stickers/luis-diaz-luchooo-sticker,264
2026-07-27,Top Performing Stickers,3555f6f3-e18b-4a4c-9be7-1fccc482180e,raphinha-sticker,Raphinha Sticker,sticker,2026-07-22 18:37:39,https://klipy.com/stickers/raphinha-sticker,217
2026-07-27,Top Performing Stickers,07a61b0e-b7bf-46d0-a888-6f1b9d85b1ba,raphinha-raphinha-sticker,Raphinha - RAPHINHA! Sticker,sticker,2026-07-22 18:37:39,https://klipy.com/stickers/raphinha-raphinha-sticker,195
2026-07-27,Top Performing Stickers,9d39a9ed-6d6a-458c-b7b0-d3d9b7aa23ac,vini-jr-baila-vini-sticker,Vini Jr - BAILA VINI! Sticker,sticker,2026-07-22 18:37:39,https://klipy.com/stickers/vini-jr-baila-vini-sticker,161
2026-08-03,Top Performing GIFs,68d352ed-714e-4b21-8f76-9e6f91ce81c5,sui-ronaldo,Sui Ronaldo,gif,2026-06-11 21:39:24,https://klipy.com/gifs/sui-ronaldo,198018
2026-08-03,Top Performing GIFs,ed99a853-9b26-45ee-a088-4585c64416af,bad-call-ref-bad-ref,Bad Call Ref Bad Ref,gif,2026-06-23 19:57:26,https://klipy.com/gifs/bad-call-ref-bad-ref,149575
2026-08-03,Top Performing GIFs,d233b30e-40a8-4c84-a2b3-33622fd54f39,onefootball-onefootball-heads-1,Onefootball Onefootball Heads,gif,2026-06-14 05:34:42,https://klipy.com/gifs/onefootball-onefootball-heads-1,117988
2026-08-03,Top Performing GIFs,4fe1e396-ef3b-4992-849c-eb3bc21568d4,michael-olise-celebration,Michael Olise Celebration,gif,2026-07-07 03:06:34,https://klipy.com/gifs/michael-olise-celebration,108979
2026-08-03,Top Performing GIFs,9c911d06-78bc-41cb-97a1-d58b8f80c5a4,michael-olise-ice-cold,Michael Olise - ICE COLD,gif,2026-07-07 02:06:01,https://klipy.com/gifs/michael-olise-ice-cold,101872
2026-08-03,Top Performing Stickers,4e6f114d-6895-4651-91aa-a3ab1a298b83,luis-diaz-sticker,Luis Diaz Sticker,sticker,2026-07-22 18:37:39,https://klipy.com/stickers/luis-diaz-sticker,737
2026-08-03,Top Performing Stickers,26f0ebff-4451-49ac-8df2-3bd6e8f9abf4,jude-bellingham-heres-jude-sticker,Jude Bellingham - HERE'S JUDE! Sticker,sticker,2026-07-27 20:10:48,https://klipy.com/stickers/jude-bellingham-heres-jude-sticker,570
2026-08-03,Top Performing Stickers,c54b8aac-15bb-48ca-820e-57b6fceb3f5c,luis-diaz-luchooo-sticker,Luis Diaz - ¡LUCHOOO! Sticker,sticker,2026-07-22 18:37:39,https://klipy.com/stickers/luis-diaz-luchooo-sticker,558
2026-08-03,Top Performing Stickers,553c0e4b-de30-480a-80a9-cfd19606730b,jude-bellingham-sticker,Jude Bellingham Sticker,sticker,2026-07-27 20:10:21,https://klipy.com/stickers/jude-bellingham-sticker,447
2026-08-03,Top Performing Stickers,46b35c4c-2275-4908-9a65-c94d138653cc,jude-bellingham-sticker-2,Jude Bellingham Sticker,sticker,2026-07-27 20:12:07,https://klipy.com/stickers/jude-bellingham-sticker-2,412
2026-08-10,Top Performing GIFs,68d352ed-714e-4b21-8f76-9e6f91ce81c5,sui-ronaldo,Sui Ronaldo,gif,2026-06-11 21:39:24,https://klipy.com/gifs/sui-ronaldo,225945
2026-08-10,Top Performing GIFs,ed99a853-9b26-45ee-a088-4585c64416af,bad-call-ref-bad-ref,Bad Call Ref Bad Ref,gif,2026-06-23 19:57:26,https://klipy.com/gifs/bad-call-ref-bad-ref,172983
2026-08-10,Top Performing GIFs,d233b30e-40a8-4c84-a2b3-33622fd54f39,onefootball-onefootball-heads-1,Onefootball Onefootball Heads,gif,2026-06-14 05:34:42,https://klipy.com/gifs/onefootball-onefootball-heads-1,131392
2026-08-10,Top Performing GIFs,4fe1e396-ef3b-4992-849c-eb3bc21568d4,michael-olise-celebration,Michael Olise Celebration,gif,2026-07-07 03:06:34,https://klipy.com/gifs/michael-olise-celebration,117612
2026-08-10,Top Performing GIFs,7daca18c-9e6a-42b4-bfa4-f89b770a0e51,heads-onefootball-heads,Heads Onefootball Heads,gif,2025-09-10 20:15:16,https://klipy.com/gifs/heads-onefootball-heads,117525
2026-08-10,Top Performing Stickers,4e6f114d-6895-4651-91aa-a3ab1a298b83,luis-diaz-sticker,Luis Diaz Sticker,sticker,2026-07-22 18:37:39,https://klipy.com/stickers/luis-diaz-sticker,1201
2026-08-10,Top Performing Stickers,26f0ebff-4451-49ac-8df2-3bd6e8f9abf4,jude-bellingham-heres-jude-sticker,Jude Bellingham - HERE'S JUDE! Sticker,sticker,2026-07-27 20:10:48,https://klipy.com/stickers/jude-bellingham-heres-jude-sticker,1127
2026-08-10,Top Performing Stickers,553c0e4b-de30-480a-80a9-cfd19606730b,jude-bellingham-sticker,Jude Bellingham Sticker,sticker,2026-07-27 20:10:21,https://klipy.com/stickers/jude-bellingham-sticker,861
2026-08-10,Top Performing Stickers,c54b8aac-15bb-48ca-820e-57b6fceb3f5c,luis-diaz-luchooo-sticker,Luis Diaz - ¡LUCHOOO! Sticker,sticker,2026-07-22 18:37:39,https://klipy.com/stickers/luis-diaz-luchooo-sticker,835
2026-08-10,Top Performing Stickers,46b35c4c-2275-4908-9a65-c94d138653cc,jude-bellingham-sticker-2,Jude Bellingham Sticker,sticker,2026-07-27 20:12:07,https://klipy.com/stickers/jude-bellingham-sticker-2,808
2026-08-17,Top Performing GIFs,68d352ed-714e-4b21-8f76-9e6f91ce81c5,sui-ronaldo,Sui Ronaldo,gif,2026-06-11 21:39:24,https://klipy.com/gifs/sui-ronaldo,257304
2026-08-17,Top Performing GIFs,ed99a853-9b26-45ee-a088-4585c64416af,bad-call-ref-bad-ref,Bad Call Ref Bad Ref,gif,2026-06-23 19:57:26,https://klipy.com/gifs/bad-call-ref-bad-ref,198193
2026-08-17,Top Performing GIFs,d233b30e-40a8-4c84-a2b3-33622fd54f39,onefootball-onefootball-heads-1,Onefootball Onefootball Heads,gif,2026-06-14 05:34:42,https://klipy.com/gifs/onefootball-onefootball-heads-1,147898
2026-08-17,Top Performing GIFs,7daca18c-9e6a-42b4-bfa4-f89b770a0e51,heads-onefootball-heads,Heads Onefootball Heads,gif,2025-09-10 20:15:16,https://klipy.com/gifs/heads-onefootball-heads,136156
2026-08-17,Top Performing GIFs,0e3e559f-1bcf-4887-8e51-8e534f700bc8,heads-onefootball-heads-1,Heads Onefootball Heads,gif,2025-09-11 05:12:23,https://klipy.com/gifs/heads-onefootball-heads-1,135315
2026-08-17,Top Performing Stickers,4e6f114d-6895-4651-91aa-a3ab1a298b83,luis-diaz-sticker,Luis Diaz Sticker,sticker,2026-07-22 18:37:39,https://klipy.com/stickers/luis-diaz-sticker,1813
2026-08-17,Top Performing Stickers,26f0ebff-4451-49ac-8df2-3bd6e8f9abf4,jude-bellingham-heres-jude-sticker,Jude Bellingham - HERE'S JUDE! Sticker,sticker,2026-07-27 20:10:48,https://klipy.com/stickers/jude-bellingham-heres-jude-sticker,1641
2026-08-17,Top Performing Stickers,553c0e4b-de30-480a-80a9-cfd19606730b,jude-bellingham-sticker,Jude Bellingham Sticker,sticker,2026-07-27 20:10:21,https://klipy.com/stickers/jude-bellingham-sticker,1211
2026-08-17,Top Performing Stickers,c54b8aac-15bb-48ca-820e-57b6fceb3f5c,luis-diaz-luchooo-sticker,Luis Diaz - ¡LUCHOOO! Sticker,sticker,2026-07-22 18:37:39,https://klipy.com/stickers/luis-diaz-luchooo-sticker,1124
2026-08-17,Top Performing Stickers,46b35c4c-2275-4908-9a65-c94d138653cc,jude-bellingham-sticker-2,Jude Bellingham Sticker,sticker,2026-07-27 20:12:07,https://klipy.com/stickers/jude-bellingham-sticker-2,1117
2026-08-24,Top Performing GIFs,68d352ed-714e-4b21-8f76-9e6f91ce81c5,sui-ronaldo,Sui Ronaldo,gif,2026-06-11 21:39:24,https://klipy.com/gifs/sui-ronaldo,296439
2026-08-24,Top Performing GIFs,ed99a853-9b26-45ee-a088-4585c64416af,bad-call-ref-bad-ref,Bad Call Ref Bad Ref,gif,2026-06-23 19:57:26,https://klipy.com/gifs/bad-call-ref-bad-ref,227798
2026-08-24,Top Performing GIFs,d233b30e-40a8-4c84-a2b3-33622fd54f39,onefootball-onefootball-heads-1,Onefootball Onefootball Heads,gif,2026-06-14 05:34:42,https://klipy.com/gifs/onefootball-onefootball-heads-1,170965
2026-08-24,Top Performing GIFs,7daca18c-9e6a-42b4-bfa4-f89b770a0e51,heads-onefootball-heads,Heads Onefootball Heads,gif,2025-09-10 20:15:16,https://klipy.com/gifs/heads-onefootball-heads,157512
2026-08-24,Top Performing GIFs,0e3e559f-1bcf-4887-8e51-8e534f700bc8,heads-onefootball-heads-1,Heads Onefootball Heads,gif,2025-09-11 05:12:23,https://klipy.com/gifs/heads-onefootball-heads-1,156415
2026-08-24,Top Performing Stickers,4e6f114d-6895-4651-91aa-a3ab1a298b83,luis-diaz-sticker,Luis Diaz Sticker,sticker,2026-07-22 18:37:39,https://klipy.com/stickers/luis-diaz-sticker,2359
2026-08-24,Top Performing Stickers,26f0ebff-4451-49ac-8df2-3bd6e8f9abf4,jude-bellingham-heres-jude-sticker,Jude Bellingham - HERE'S JUDE! Sticker,sticker,2026-07-27 20:10:48,https://klipy.com/stickers/jude-bellingham-heres-jude-sticker,2234
2026-08-24,Top Performing Stickers,553c0e4b-de30-480a-80a9-cfd19606730b,jude-bellingham-sticker,Jude Bellingham Sticker,sticker,2026-07-27 20:10:21,https://klipy.com/stickers/jude-bellingham-sticker,1618
2026-08-24,Top Performing Stickers,46b35c4c-2275-4908-9a65-c94d138653cc,jude-bellingham-sticker-2,Jude Bellingham Sticker,sticker,2026-07-27 20:12:07,https://klipy.com/stickers/jude-bellingham-sticker-2,1498
2026-08-24,Top Performing Stickers,eeab6444-0a0a-499e-af58-c007caa06e9c,lamine-yamal-sticker-1,Lamine Yamal Sticker,sticker,2026-07-28 21:52:41,https://klipy.com/stickers/lamine-yamal-sticker-1,1475
2026-08-31,Top Performing GIFs,68d352ed-714e-4b21-8f76-9e6f91ce81c5,sui-ronaldo,Sui Ronaldo,gif,2026-06-11 21:39:24,https://klipy.com/gifs/sui-ronaldo,333997
