"date","giphy_views","klipy_impressions","combined"
"2025-07-01","298094","0","298094"
"2025-07-02","129321","0","129321"
"2025-07-03","118645","0","118645"
"2025-07-04","99407","0","99407"
"2025-07-05","309161","0","309161"
"2025-07-06","70521","0","70521"
"2025-07-07","94490","0","94490"
"2025-07-08","107065","0","107065"
"2025-07-09","120604","0","120604"
"2025-07-10","110054","0","110054"
"2025-07-11","116562","0","116562"
"2025-07-12","71076","0","71076"
"2025-07-13","65496","0","65496"
"2025-07-14","106446","0","106446"
"2025-07-15","112197","0","112197"
"2025-07-16","113441","0","113441"
"2025-07-17","118415","0","118415"
"2025-07-18","110640","0","110640"
"2025-07-19","65564","0","65564"
"2025-07-20","63894","0","63894"
"2025-07-21","104772","0","104772"
"2025-07-22","117823","0","117823"
"2025-07-23","112988","0","112988"
"2025-07-24","140035","0","140035"
"2025-07-25","118768","0","118768"
"2025-07-26","72738","0","72738"
"2025-07-27","73885","0","73885"
"2025-07-28","108736","0","108736"
"2025-07-29","120158","0","120158"
"2025-07-30","119553","0","119553"
"2025-07-31","117226","0","117226"
"2025-08-01","107807","0","107807"
"2025-08-02","62040","0","62040"
"2025-08-03","62384","0","62384"
"2025-08-04","95277","0","95277"
"2025-08-05","109546","0","109546"
"2025-08-06","196607","0","196607"
"2025-08-07","120195","0","120195"
"2025-08-08","116723","0","116723"
"2025-08-09","97184","0","97184"
"2025-08-10","92649","0","92649"
"2025-08-11","124653","0","124653"
"2025-08-12","127163","0","127163"
"2025-08-13","129192","0","129192"
"2025-08-14","128793","0","128793"
"2025-08-15","121205","0","121205"
"2025-08-16","80694","0","80694"
"2025-08-17","76622","0","76622"
"2025-08-18","115992","0","115992"
"2025-08-19","130939","0","130939"
"2025-08-20","136398","0","136398"
"2025-08-21","127619","0","127619"
"2025-08-22","122902","0","122902"
"2025-08-23","92378","0","92378"
"2025-08-24","104682","0","104682"
"2025-08-25","141497","0","141497"
"2025-08-26","141793","0","141793"
"2025-08-27","159415","0","159415"
"2025-08-28","149404","0","149404"
"2025-08-29","139655","0","139655"
"2025-08-30","91145","0","91145"
